runid,recall,precision,f-score
10_ROUGE-2,0,0,0
11_ROUGE-2,0,0,0
12_ROUGE-2,0.02083,0.01923,0.02
13_ROUGE-2,0,0,0
14_ROUGE-2,0,0,0
15_ROUGE-2,0.04651,0.04545,0.04597
16_ROUGE-2,0.03846,0.02778,0.03226
17_ROUGE-2,0.01471,0.02041,0.0171
18_ROUGE-2,0.10526,0.04348,0.06154
19_ROUGE-2,0,0,0
1_ROUGE-2,0.01667,0.02273,0.01923
20_ROUGE-2,0.03175,0.05556,0.04041
21_ROUGE-2,0,0,0
22_ROUGE-2,0.01754,0.01449,0.01587
23_ROUGE-2,0,0,0
24_ROUGE-2,0,0,0
25_ROUGE-2,0,0,0
26_ROUGE-2,0.02632,0.01754,0.02105
27_ROUGE-2,0,0,0
28_ROUGE-2,0.16667,0.05102,0.07812
29_ROUGE-2,0,0,0
2_ROUGE-2,0.17143,0.12,0.14118
30_ROUGE-2,0,0,0
31_ROUGE-2,0,0,0
32_ROUGE-2,0,0,0
33_ROUGE-2,0.03704,0.02041,0.02632
34_ROUGE-2,0.06897,0.04348,0.05334
35_ROUGE-2,0.04082,0.04255,0.04167
36_ROUGE-2,0,0,0
37_ROUGE-2,0.0303,0.01515,0.0202
38_ROUGE-2,0,0,0
39_ROUGE-2,0.04762,0.04545,0.04651
3_ROUGE-2,0.09524,0.05714,0.07143
40_ROUGE-2,0.13043,0.05882,0.08108
41_ROUGE-2,0.0339,0.03226,0.03306
42_ROUGE-2,0,0,0
43_ROUGE-2,0,0,0
44_ROUGE-2,0.02326,0.02564,0.02439
45_ROUGE-2,0.04651,0.04762,0.04706
46_ROUGE-2,0.09524,0.05128,0.06667
47_ROUGE-2,0.02857,0.02128,0.02439
48_ROUGE-2,0,0,0
49_ROUGE-2,0,0,0
4_ROUGE-2,0.02632,0.02564,0.02598
50_ROUGE-2,0.03448,0.02439,0.02857
51_ROUGE-2,0.025,0.04,0.03077
52_ROUGE-2,0,0,0
53_ROUGE-2,0.04167,0.01266,0.01942
54_ROUGE-2,0.01852,0.02439,0.02105
55_ROUGE-2,0,0,0
56_ROUGE-2,0.01887,0.02941,0.02299
57_ROUGE-2,0,0,0
58_ROUGE-2,0.0303,0.0303,0.0303
59_ROUGE-2,0.02273,0.02174,0.02222
5_ROUGE-2,0,0,0
6_ROUGE-2,0.05,0.02326,0.03175
7_ROUGE-2,0.03125,0.06061,0.04124
8_ROUGE-2,0,0,0
9_ROUGE-2,0.18519,0.10638,0.13513
