runid,recall,precision,f-score
10_ROUGE-SU*,0.00727,0.00257,0.0038
11_ROUGE-SU*,0.00541,0.00488,0.00513
12_ROUGE-SU*,0.01481,0.0014,0.00256
13_ROUGE-SU*,0.02182,0.00902,0.01276
14_ROUGE-SU*,0.01161,0.00527,0.00725
15_ROUGE-SU*,0.02932,0.02805,0.02867
16_ROUGE-SU*,0.09412,0.02279,0.03669
17_ROUGE-SU*,0.01765,0.00235,0.00415
18_ROUGE-SU*,0.08612,0.01597,0.02694
19_ROUGE-SU*,0.00863,0.01412,0.01071
1_ROUGE-SU*,0.03386,0.0619,0.04377
20_ROUGE-SU*,0.01669,0.01852,0.01756
21_ROUGE-SU*,0.01435,0.00405,0.00632
22_ROUGE-SU*,0.01111,0.00765,0.00906
23_ROUGE-SU*,0.07563,0.00735,0.0134
24_ROUGE-SU*,0.02067,0.01669,0.01847
25_ROUGE-SU*,0.01091,0.00278,0.00443
26_ROUGE-SU*,0.01613,0.00409,0.00653
27_ROUGE-SU*,0.00766,0.00998,0.00867
28_ROUGE-SU*,0.11919,0.01192,0.02167
29_ROUGE-SU*,0.02597,0.00318,0.00567
2_ROUGE-SU*,0.06466,0.03245,0.04321
30_ROUGE-SU*,0.00902,0.00665,0.00766
31_ROUGE-SU*,0.02646,0.00241,0.00442
32_ROUGE-SU*,0.01613,0.00997,0.01232
33_ROUGE-SU*,0.01481,0.00471,0.00715
34_ROUGE-SU*,0.07328,0.03017,0.04274
35_ROUGE-SU*,0.01177,0.01277,0.01225
36_ROUGE-SU*,0.00541,0.00636,0.00585
37_ROUGE-SU*,0.02862,0.00747,0.01185
38_ROUGE-SU*,0.02696,0.02203,0.02425
39_ROUGE-SU*,0.03598,0.03288,0.03436
3_ROUGE-SU*,0.08333,0.03158,0.0458
40_ROUGE-SU*,0.07358,0.01598,0.02626
41_ROUGE-SU*,0.00768,0.00744,0.00756
42_ROUGE-SU*,0.01166,0.01816,0.0142
43_ROUGE-SU*,0.00629,0.04957,0.01116
44_ROUGE-SU*,0.01517,0.01832,0.0166
45_ROUGE-SU*,0.03741,0.03915,0.03826
46_ROUGE-SU*,0.06349,0.01954,0.02988
47_ROUGE-SU*,0.05414,0.03064,0.03913
48_ROUGE-SU*,0.01905,0.03416,0.02446
49_ROUGE-SU*,0.02383,0.01755,0.02021
4_ROUGE-SU*,0.01284,0.01221,0.01252
50_ROUGE-SU*,0.0431,0.02217,0.02928
51_ROUGE-SU*,0.00698,0.01714,0.00992
52_ROUGE-SU*,0.00977,0.00809,0.00885
53_ROUGE-SU*,0.03361,0.00123,0.00237
54_ROUGE-SU*,0.04808,0.08204,0.06063
55_ROUGE-SU*,0.00647,0.00333,0.0044
56_ROUGE-SU*,0.00606,0.01431,0.00851
57_ROUGE-SU*,0.0202,0.01351,0.01619
58_ROUGE-SU*,0.0404,0.0404,0.0404
59_ROUGE-SU*,0.02418,0.02218,0.02314
5_ROUGE-SU*,0.00509,0.01431,0.00751
6_ROUGE-SU*,0.04348,0.01011,0.01641
7_ROUGE-SU*,0.01111,0.00168,0.00292
8_ROUGE-SU*,0.01328,0.01178,0.01249
9_ROUGE-SU*,0.08889,0.03064,0.04557
