runid,recall,precision,f-score
10_ROUGE-2,0,0,0
11_ROUGE-2,0.05,0.01852,0.02703
12_ROUGE-2,0,0,0
13_ROUGE-2,0.09091,0.04651,0.06154
14_ROUGE-2,0,0,0
15_ROUGE-2,0.04651,0.03636,0.04081
16_ROUGE-2,0,0,0
17_ROUGE-2,0.11765,0.03125,0.04938
18_ROUGE-2,0.05263,0.02174,0.03077
19_ROUGE-2,0,0,0
1_ROUGE-2,0.01667,0.01923,0.01786
20_ROUGE-2,0.04762,0.06522,0.05505
21_ROUGE-2,0.15789,0.07895,0.10526
22_ROUGE-2,0.01754,0.01471,0.016
23_ROUGE-2,0,0,0
24_ROUGE-2,0,0,0
25_ROUGE-2,0,0,0
26_ROUGE-2,0,0,0
27_ROUGE-2,0.04762,0.04444,0.04598
28_ROUGE-2,0.23333,0.09722,0.13725
29_ROUGE-2,0,0,0
2_ROUGE-2,0.12903,0.07143,0.09195
30_ROUGE-2,0,0,0
31_ROUGE-2,0,0,0
32_ROUGE-2,0.04651,0.0339,0.03922
33_ROUGE-2,0,0,0
34_ROUGE-2,0.13793,0.08,0.10127
35_ROUGE-2,0.02041,0.025,0.02247
36_ROUGE-2,0,0,0
37_ROUGE-2,0.06061,0.02899,0.03922
38_ROUGE-2,0.07018,0.05882,0.064
39_ROUGE-2,0.04167,0.04255,0.04211
3_ROUGE-2,0.14286,0.10714,0.12245
40_ROUGE-2,0.04348,0.04348,0.04348
41_ROUGE-2,0.01695,0.01562,0.01626
42_ROUGE-2,0.10938,0.13725,0.12174
43_ROUGE-2,0.03571,0.11538,0.05454
44_ROUGE-2,0.02326,0.02326,0.02326
45_ROUGE-2,0.04651,0.05882,0.05195
46_ROUGE-2,0.19048,0.09302,0.125
47_ROUGE-2,0,0,0
48_ROUGE-2,0,0,0
49_ROUGE-2,0.04255,0.03509,0.03846
4_ROUGE-2,0.08824,0.05357,0.06667
50_ROUGE-2,0.05714,0.04255,0.04878
51_ROUGE-2,0.05,0.03922,0.04396
52_ROUGE-2,0,0,0
53_ROUGE-2,0,0,0
54_ROUGE-2,0.05556,0.04225,0.048
55_ROUGE-2,0,0,0
56_ROUGE-2,0,0,0
57_ROUGE-2,0,0,0
58_ROUGE-2,0,0,0
59_ROUGE-2,0.02273,0.025,0.02381
5_ROUGE-2,0,0,0
6_ROUGE-2,0.1,0.03922,0.05634
7_ROUGE-2,0.08333,0.01639,0.02739
8_ROUGE-2,0.01031,0.02778,0.01504
9_ROUGE-2,0.03704,0.02632,0.03077
