runid,recall,precision,f-score
10_ROUGE-SU*,0.01091,0.00349,0.00529
11_ROUGE-SU*,0.03378,0.01624,0.02193
12_ROUGE-SU*,0.00741,0.00179,0.00288
13_ROUGE-SU*,0.04364,0.01213,0.01898
14_ROUGE-SU*,0.01154,0.01505,0.01306
15_ROUGE-SU*,0.03033,0.01881,0.02322
16_ROUGE-SU*,0.01765,0.00317,0.00537
17_ROUGE-SU*,0.03529,0.0028,0.00519
18_ROUGE-SU*,0.0622,0.01154,0.01947
19_ROUGE-SU*,0.00944,0.00981,0.00962
1_ROUGE-SU*,0.02189,0.00909,0.01285
20_ROUGE-SU*,0.04425,0.08163,0.05739
21_ROUGE-SU*,0.07177,0.01926,0.03037
22_ROUGE-SU*,0.0117,0.00829,0.0097
23_ROUGE-SU*,0.07563,0.0087,0.0156
24_ROUGE-SU*,0.01272,0.01272,0.01272
25_ROUGE-SU*,0.0084,0.00067,0.00124
26_ROUGE-SU*,0.00691,0.00278,0.00396
27_ROUGE-SU*,0.01905,0.01667,0.01778
28_ROUGE-SU*,0.13535,0.02481,0.04193
29_ROUGE-SU*,0.03896,0.00477,0.0085
2_ROUGE-SU*,0.05693,0.01816,0.02754
30_ROUGE-SU*,0.00404,0.00811,0.00539
31_ROUGE-SU*,0.01587,0.00144,0.00264
32_ROUGE-SU*,0.06221,0.01476,0.02386
33_ROUGE-SU*,0.02469,0.00887,0.01305
34_ROUGE-SU*,0.09483,0.03321,0.04919
35_ROUGE-SU*,0.01177,0.01744,0.01405
36_ROUGE-SU*,0.00946,0.01613,0.01193
37_ROUGE-SU*,0.0303,0.00725,0.0117
38_ROUGE-SU*,0.03801,0.02693,0.03152
39_ROUGE-SU*,0.03069,0.02468,0.02736
3_ROUGE-SU*,0.0754,0.04378,0.0554
40_ROUGE-SU*,0.03344,0.00887,0.01402
41_ROUGE-SU*,0.01844,0.01679,0.01758
42_ROUGE-SU*,0.02593,0.02033,0.02279
43_ROUGE-SU*,0.01053,0.01857,0.01344
44_ROUGE-SU*,0.01213,0.01213,0.01213
45_ROUGE-SU*,0.02469,0.0159,0.01934
46_ROUGE-SU*,0.10714,0.0273,0.04351
47_ROUGE-SU*,0.01203,0.01724,0.01417
48_ROUGE-SU*,0.00506,0.00712,0.00592
49_ROUGE-SU*,0.03915,0.0269,0.03189
4_ROUGE-SU*,0.02544,0.00969,0.01403
50_ROUGE-SU*,0.02105,0.01191,0.01521
51_ROUGE-SU*,0.02558,0.01598,0.01967
52_ROUGE-SU*,0.00796,0.00451,0.00576
53_ROUGE-SU*,0.02521,0.00097,0.00187
54_ROUGE-SU*,0.06953,0.04073,0.05137
55_ROUGE-SU*,0.02182,0.00733,0.01097
56_ROUGE-SU*,0.00078,0.00286,0.00123
57_ROUGE-SU*,0.01787,0.00845,0.01147
58_ROUGE-SU*,0.01926,0.01587,0.0174
59_ROUGE-SU*,0.01161,0.01395,0.01267
5_ROUGE-SU*,0.01112,0.01343,0.01217
6_ROUGE-SU*,0.0913,0.01525,0.02613
7_ROUGE-SU*,0.03333,0.00154,0.00294
8_ROUGE-SU*,0.01898,0.01425,0.01628
9_ROUGE-SU*,0.04691,0.02439,0.03209
