runid,recall,precision,f-score
10_ROUGE-1,0.07463,0.27778,0.11765
11_ROUGE-1,0.01724,0.05882,0.02666
12_ROUGE-1,0.02778,0.13333,0.04598
13_ROUGE-1,0.05263,0.23529,0.08602
14_ROUGE-1,0.03333,0.1,0.05
15_ROUGE-1,0.03509,0.11111,0.05334
16_ROUGE-1,0.01818,0.05882,0.02778
17_ROUGE-1,0.03333,0.16667,0.05555
18_ROUGE-1,0.13559,0.4,0.20253
19_ROUGE-1,0.07937,0.2381,0.11905
1_ROUGE-1,0.0678,0.57143,0.12122
20_ROUGE-1,0.10606,0.26923,0.15217
21_ROUGE-1,0.15873,0.29412,0.20619
22_ROUGE-1,0,0,0
23_ROUGE-1,0.02985,0.15385,0.05
24_ROUGE-1,0.04918,0.1875,0.07792
25_ROUGE-1,0.05,0.11538,0.06977
26_ROUGE-1,0.05797,0.28571,0.09638
27_ROUGE-1,0.08065,0.2381,0.12049
28_ROUGE-1,0.03175,0.13333,0.05129
29_ROUGE-1,0.03279,0.18182,0.05556
2_ROUGE-1,0.07547,0.15385,0.10127
30_ROUGE-1,0.08772,0.22727,0.12658
3_ROUGE-1,0,0,0
4_ROUGE-1,0.04,0.18182,0.06557
5_ROUGE-1,0.07018,0.21053,0.10527
6_ROUGE-1,0.13846,0.3913,0.20454
7_ROUGE-1,0.03704,0.14286,0.05883
8_ROUGE-1,0.09524,0.23077,0.13483
9_ROUGE-1,0.08696,0.28571,0.13334
