runid,recall,precision,f-score
10_ROUGE-SU*,0.00674,0.05882,0.01209
11_ROUGE-SU*,0.00058,0.00658,0.00107
12_ROUGE-SU*,0.00076,0.01681,0.00145
13_ROUGE-SU*,0.00308,0.05921,0.00586
14_ROUGE-SU*,0.00164,0.01435,0.00294
15_ROUGE-SU*,0.00182,0.01765,0.0033
16_ROUGE-SU*,0.00065,0.00658,0.00118
17_ROUGE-SU*,0.00055,0.01299,0.00106
18_ROUGE-SU*,0.01696,0.14354,0.03034
19_ROUGE-SU*,0.00546,0.04783,0.0098
1_ROUGE-SU*,0.00565,0.37037,0.01113
20_ROUGE-SU*,0.01131,0.07143,0.01953
21_ROUGE-SU*,0.02035,0.06902,0.03143
22_ROUGE-SU*,0,0,0
23_ROUGE-SU*,0.00088,0.02222,0.00169
24_ROUGE-SU*,0.00317,0.04444,0.00592
25_ROUGE-SU*,0.00328,0.01714,0.00551
26_ROUGE-SU*,0.0039,0.05769,0.00731
27_ROUGE-SU*,0.00673,0.06087,0.01212
28_ROUGE-SU*,0.00099,0.01681,0.00187
29_ROUGE-SU*,0.00159,0.04615,0.00307
2_ROUGE-SU*,0.00559,0.02286,0.00898
30_ROUGE-SU*,0.00656,0.04762,0.01153
3_ROUGE-SU*,0,0,0
4_ROUGE-SU*,0.00175,0.04615,0.00337
5_ROUGE-SU*,0.00484,0.04233,0.00869
6_ROUGE-SU*,0.01819,0.14182,0.03224
7_ROUGE-SU*,0.00202,0.02885,0.00378
8_ROUGE-SU*,0.00993,0.05714,0.01692
9_ROUGE-SU*,0.00787,0.08261,0.01437
