runid,recall,precision,f-score
10_ROUGE-1,0.08696,0.03125,0.04598
11_ROUGE-1,0.28571,0.07895,0.12371
12_ROUGE-1,0.3125,0.08197,0.12987
13_ROUGE-1,0.21739,0.07246,0.10869
14_ROUGE-1,0.24444,0.12222,0.16296
15_ROUGE-1,0.18182,0.15094,0.16495
16_ROUGE-1,0.16667,0.06122,0.08955
17_ROUGE-1,0.22222,0.0678,0.1039
18_ROUGE-1,0.1,0.03333,0.05
19_ROUGE-1,0.2,0.15873,0.17699
1_ROUGE-1,0.13115,0.13333,0.13223
20_ROUGE-1,0.35938,0.33333,0.34587
21_ROUGE-1,0.6,0.16216,0.25532
22_ROUGE-1,0.13115,0.09195,0.10811
23_ROUGE-1,0.26667,0.04494,0.07692
24_ROUGE-1,0.17143,0.13636,0.1519
25_ROUGE-1,0.08696,0.0241,0.03774
26_ROUGE-1,0.07692,0.04615,0.05769
27_ROUGE-1,0.1875,0.13636,0.15789
28_ROUGE-1,0.48387,0.15306,0.23256
29_ROUGE-1,0.27586,0.06723,0.10811
2_ROUGE-1,0.375,0.1875,0.25
30_ROUGE-1,0.13889,0.05882,0.08264
31_ROUGE-1,0.11765,0.08451,0.09836
32_ROUGE-1,0.44828,0.11712,0.18572
33_ROUGE-1,0.07143,0.03704,0.04878
34_ROUGE-1,0.36667,0.18966,0.25
35_ROUGE-1,0.16,0.22222,0.18605
36_ROUGE-1,0.15789,0.10345,0.125
37_ROUGE-1,0.44118,0.16484,0.24001
38_ROUGE-1,0.31034,0.23077,0.2647
39_ROUGE-1,0.18367,0.15517,0.16822
3_ROUGE-1,0.14634,0.15789,0.1519
40_ROUGE-1,0.29167,0.09589,0.14433
41_ROUGE-1,0.25806,0.21053,0.23188
42_ROUGE-1,0.10769,0.12963,0.11765
43_ROUGE-1,0.12941,0.20755,0.15942
44_ROUGE-1,0.04545,0.0625,0.05263
45_ROUGE-1,0.18182,0.13115,0.15238
46_ROUGE-1,0.22727,0.08772,0.12658
47_ROUGE-1,0.15385,0.125,0.13793
48_ROUGE-1,0.18605,0.18182,0.18391
49_ROUGE-1,0.25,0.06154,0.09877
4_ROUGE-1,0.17949,0.11111,0.13725
50_ROUGE-1,0.33333,0.13889,0.19608
51_ROUGE-1,0.17073,0.12963,0.14737
52_ROUGE-1,0.14815,0.09302,0.11428
53_ROUGE-1,0.32,0.1,0.15238
54_ROUGE-1,0.18182,0.12987,0.15152
55_ROUGE-1,0.13043,0.05769,0.08
56_ROUGE-1,0.11111,0.14634,0.12631
57_ROUGE-1,0.16129,0.07463,0.10204
58_ROUGE-1,0.08824,0.04918,0.06316
59_ROUGE-1,0.2,0.13846,0.16364
5_ROUGE-1,0.15909,0.10294,0.125
6_ROUGE-1,0.16364,0.16981,0.16667
7_ROUGE-1,0.23077,0.03947,0.06741
8_ROUGE-1,0.15625,0.0625,0.08929
9_ROUGE-1,0.39286,0.20755,0.27161
