runid,recall,precision,f-score
10_ROUGE-1,0.08696,0.04,0.0548
11_ROUGE-1,0.09524,0.04651,0.0625
12_ROUGE-1,0.0625,0.02326,0.0339
13_ROUGE-1,0.26087,0.10169,0.14634
14_ROUGE-1,0.17778,0.08989,0.11941
15_ROUGE-1,0.22727,0.16667,0.19231
16_ROUGE-1,0.27778,0.09804,0.14493
17_ROUGE-1,0.15942,0.15493,0.15714
18_ROUGE-1,0.15,0.05357,0.07895
19_ROUGE-1,0.12,0.15,0.13333
1_ROUGE-1,0.19672,0.22222,0.20869
20_ROUGE-1,0.29688,0.29231,0.29458
21_ROUGE-1,0.2,0.10256,0.13559
22_ROUGE-1,0.15517,0.125,0.13846
23_ROUGE-1,0.26667,0.07018,0.11112
24_ROUGE-1,0.11429,0.08889,0.1
25_ROUGE-1,0.08696,0.03704,0.05195
26_ROUGE-1,0.02564,0.02083,0.02299
27_ROUGE-1,0.16279,0.11864,0.13725
28_ROUGE-1,0.3871,0.13483,0.2
29_ROUGE-1,0.10345,0.05769,0.07407
2_ROUGE-1,0.4375,0.21538,0.28866
30_ROUGE-1,0.11111,0.07018,0.08602
31_ROUGE-1,0.15789,0.04286,0.06742
32_ROUGE-1,0.17241,0.09091,0.11905
33_ROUGE-1,0.03571,0.01786,0.02381
34_ROUGE-1,0.36667,0.22917,0.28205
35_ROUGE-1,0.16,0.16,0.16
36_ROUGE-1,0.13158,0.08475,0.1031
37_ROUGE-1,0.29412,0.15873,0.20619
38_ROUGE-1,0.2069,0.18462,0.19513
39_ROUGE-1,0.13953,0.11765,0.12766
3_ROUGE-1,0.27273,0.16667,0.2069
40_ROUGE-1,0.25,0.09677,0.13953
41_ROUGE-1,0.17742,0.2037,0.18965
42_ROUGE-1,0.15217,0.12281,0.13592
43_ROUGE-1,0.14118,0.41379,0.21053
44_ROUGE-1,0.20455,0.14062,0.16666
45_ROUGE-1,0.29545,0.2549,0.27368
46_ROUGE-1,0.5,0.18333,0.26829
47_ROUGE-1,0.17308,0.19149,0.18182
48_ROUGE-1,0.16279,0.15556,0.15909
49_ROUGE-1,0.1875,0.05172,0.08108
4_ROUGE-1,0.25714,0.13043,0.17307
50_ROUGE-1,0.19444,0.11475,0.14433
51_ROUGE-1,0.09434,0.11364,0.10309
52_ROUGE-1,0.175,0.15217,0.16279
53_ROUGE-1,0.06667,0.02174,0.03279
54_ROUGE-1,0.23636,0.16049,0.19117
55_ROUGE-1,0.1,0.05556,0.07143
56_ROUGE-1,0.04,0.08696,0.0548
57_ROUGE-1,0.09677,0.04545,0.06185
58_ROUGE-1,0.23077,0.16667,0.19355
59_ROUGE-1,0.24444,0.18966,0.21359
5_ROUGE-1,0.13636,0.10169,0.1165
6_ROUGE-1,0.38095,0.14035,0.20513
7_ROUGE-1,0.16923,0.18644,0.17742
8_ROUGE-1,0.09375,0.075,0.08333
9_ROUGE-1,0.39286,0.21154,0.275
