runid,recall,precision,f-score
10_ROUGE-1,0.04478,0.17647,0.07143
11_ROUGE-1,0.14815,0.36364,0.21053
12_ROUGE-1,0.19608,0.26316,0.22472
13_ROUGE-1,0.0678,0.26667,0.10811
14_ROUGE-1,0.03333,0.1,0.05
15_ROUGE-1,0.12281,0.28,0.17073
16_ROUGE-1,0.18056,0.61905,0.27958
17_ROUGE-1,0.11667,0.29167,0.16667
18_ROUGE-1,0.03636,0.18182,0.0606
19_ROUGE-1,0.18333,0.275,0.22
1_ROUGE-1,0.08955,0.21429,0.12631
20_ROUGE-1,0.15152,0.32258,0.20619
21_ROUGE-1,0.04286,0.13636,0.06522
22_ROUGE-1,0.09434,0.18519,0.125
23_ROUGE-1,0.125,0.25,0.16667
24_ROUGE-1,0.04918,0.17647,0.07692
25_ROUGE-1,0.06667,0.125,0.08696
26_ROUGE-1,0.09091,0.21739,0.12821
27_ROUGE-1,0.09524,0.24,0.13637
28_ROUGE-1,0,0,0
29_ROUGE-1,0.1791,0.32432,0.23076
2_ROUGE-1,0.0566,0.12,0.07692
30_ROUGE-1,0.13333,0.25,0.17391
3_ROUGE-1,0.09836,0.15789,0.12121
4_ROUGE-1,0.04,0.09091,0.05556
5_ROUGE-1,0.15873,0.28571,0.20408
6_ROUGE-1,0.14035,0.2963,0.19048
7_ROUGE-1,0.05085,0.17647,0.07895
8_ROUGE-1,0.14286,0.24324,0.18
9_ROUGE-1,0.15254,0.28125,0.1978
