runid,recall,precision,f-score
10_ROUGE-SU*,0.00364,0.00397,0.0038
11_ROUGE-SU*,0.11304,0.0642,0.08189
12_ROUGE-SU*,0.00572,0.00899,0.00699
13_ROUGE-SU*,0.02909,0.01347,0.01841
14_ROUGE-SU*,0.01203,0.05388,0.01967
15_ROUGE-SU*,0.0182,0.03636,0.02426
16_ROUGE-SU*,0.07059,0.03704,0.04859
17_ROUGE-SU*,0.02941,0.01152,0.01656
18_ROUGE-SU*,0.00478,0.01538,0.00729
19_ROUGE-SU*,0.00654,0.01515,0.00914
1_ROUGE-SU*,0.03872,0.03276,0.03549
20_ROUGE-SU*,0.02597,0.05987,0.03623
21_ROUGE-SU*,0.11483,0.03609,0.05492
22_ROUGE-SU*,0.04815,0.04662,0.04737
23_ROUGE-SU*,0.03704,0.00461,0.0082
24_ROUGE-SU*,0.03975,0.07716,0.05247
25_ROUGE-SU*,0.0084,0.00247,0.00382
26_ROUGE-SU*,0.02995,0.02802,0.02895
27_ROUGE-SU*,0.01957,0.03108,0.02402
28_ROUGE-SU*,0.07475,0.04518,0.05632
29_ROUGE-SU*,0.01299,0.00111,0.00205
2_ROUGE-SU*,0.01898,0.01284,0.01532
30_ROUGE-SU*,0.00902,0.05769,0.0156
31_ROUGE-SU*,0.03245,0.0455,0.03788
32_ROUGE-SU*,0.00303,0.01003,0.00465
33_ROUGE-SU*,0.00741,0.0119,0.00913
34_ROUGE-SU*,0.03021,0.03838,0.03381
35_ROUGE-SU*,0.00205,0.01852,0.00369
36_ROUGE-SU*,0.01081,0.01518,0.01263
37_ROUGE-SU*,0.04962,0.01019,0.01691
38_ROUGE-SU*,0.11345,0.14089,0.12569
39_ROUGE-SU*,0.06455,0.09698,0.07751
3_ROUGE-SU*,0.02521,0.01587,0.01948
40_ROUGE-SU*,0.03344,0.01351,0.01924
41_ROUGE-SU*,0.01258,0.04646,0.0198
42_ROUGE-SU*,0.01296,0.01144,0.01215
43_ROUGE-SU*,0.00684,0.09091,0.01272
44_ROUGE-SU*,0.00404,0.01587,0.00644
45_ROUGE-SU*,0.01481,0.01852,0.01646
46_ROUGE-SU*,0.07604,0.04962,0.06005
47_ROUGE-SU*,0.04793,0.14224,0.0717
48_ROUGE-SU*,0.00101,0.0084,0.0018
49_ROUGE-SU*,0.08148,0.02222,0.03492
4_ROUGE-SU*,0.01113,0.00621,0.00797
50_ROUGE-SU*,0.01955,0.02626,0.02241
51_ROUGE-SU*,0.01047,0.01607,0.01268
52_ROUGE-SU*,0.02198,0.03214,0.02611
53_ROUGE-SU*,0.02521,0.00164,0.00308
54_ROUGE-SU*,0.04808,0.10541,0.06604
55_ROUGE-SU*,0.04095,0.02857,0.03366
56_ROUGE-SU*,0.00404,0.01714,0.00654
57_ROUGE-SU*,0.01191,0.02828,0.01676
58_ROUGE-SU*,0.0077,0.06667,0.01381
59_ROUGE-SU*,0.02128,0.05069,0.02998
5_ROUGE-SU*,0.0091,0.02074,0.01265
6_ROUGE-SU*,0.02174,0.01984,0.02075
7_ROUGE-SU*,0.11111,0.01058,0.01932
8_ROUGE-SU*,0.01518,0.01724,0.01614
9_ROUGE-SU*,0.01481,0.02007,0.01704
