runid,recall,precision,f-score
10_ROUGE-2,0.13636,0.06122,0.0845
11_ROUGE-2,0.1,0.04878,0.06557
12_ROUGE-2,0.02083,0.02,0.02041
13_ROUGE-2,0.09091,0.04878,0.06349
14_ROUGE-2,0.01587,0.02174,0.01835
15_ROUGE-2,0.05769,0.09375,0.07143
16_ROUGE-2,0.03846,0.02439,0.02985
17_ROUGE-2,0.02941,0.03448,0.03174
18_ROUGE-2,0.05263,0.03571,0.04255
19_ROUGE-2,0,0,0
1_ROUGE-2,0.01667,0.02174,0.01887
20_ROUGE-2,0.03175,0.04167,0.03604
21_ROUGE-2,0.26316,0.09804,0.14286
22_ROUGE-2,0,0,0
23_ROUGE-2,0.11111,0.0303,0.04762
24_ROUGE-2,0,0,0
25_ROUGE-2,0,0,0
26_ROUGE-2,0,0,0
27_ROUGE-2,0,0,0
28_ROUGE-2,0.1,0.05263,0.06896
29_ROUGE-2,0,0,0
2_ROUGE-2,0.06452,0.03846,0.04819
30_ROUGE-2,0,0,0
31_ROUGE-2,0,0,0
32_ROUGE-2,0.04651,0.06452,0.05405
33_ROUGE-2,0,0,0
34_ROUGE-2,0.06897,0.04348,0.05334
35_ROUGE-2,0,0,0
36_ROUGE-2,0,0,0
37_ROUGE-2,0.0303,0.00971,0.01471
38_ROUGE-2,0,0,0
39_ROUGE-2,0.04762,0.08,0.0597
3_ROUGE-2,0.07143,0.07692,0.07407
40_ROUGE-2,0.08696,0.04082,0.05556
41_ROUGE-2,0.0339,0.05263,0.04124
42_ROUGE-2,0,0,0
43_ROUGE-2,0,0,0
44_ROUGE-2,0.02326,0.03571,0.02817
45_ROUGE-2,0,0,0
46_ROUGE-2,0.07143,0.07692,0.07407
47_ROUGE-2,0,0,0
48_ROUGE-2,0,0,0
49_ROUGE-2,0,0,0
4_ROUGE-2,0.05263,0.05556,0.05406
50_ROUGE-2,0.03448,0.02564,0.02941
51_ROUGE-2,0,0,0
52_ROUGE-2,0,0,0
53_ROUGE-2,0,0,0
54_ROUGE-2,0.05556,0.05882,0.05714
55_ROUGE-2,0.09091,0.04651,0.06154
56_ROUGE-2,0,0,0
57_ROUGE-2,0.02128,0.01961,0.02041
58_ROUGE-2,0.05263,0.13333,0.07547
59_ROUGE-2,0,0,0
5_ROUGE-2,0,0,0
6_ROUGE-2,0.05,0.02439,0.03279
7_ROUGE-2,0.03125,0.0625,0.04167
8_ROUGE-2,0,0,0
9_ROUGE-2,0.18519,0.16667,0.17544
