runid,recall,precision,f-score
10_ROUGE-1,0.12963,0.17073,0.14737
11_ROUGE-1,0.15789,0.11321,0.13187
12_ROUGE-1,0.12245,0.13043,0.12631
13_ROUGE-1,0.17391,0.12903,0.14815
14_ROUGE-1,0.07812,0.09091,0.08403
15_ROUGE-1,0.22727,0.2381,0.23256
16_ROUGE-1,0.33333,0.14634,0.20339
17_ROUGE-1,0.11111,0.04651,0.06557
18_ROUGE-1,0.25,0.26316,0.25641
19_ROUGE-1,0.12,0.12766,0.12371
1_ROUGE-1,0.20588,0.11667,0.14894
20_ROUGE-1,0.20312,0.31707,0.24761
21_ROUGE-1,0.25,0.125,0.16667
22_ROUGE-1,0.13115,0.18182,0.15238
23_ROUGE-1,0.3,0.08333,0.13043
24_ROUGE-1,0.08571,0.08824,0.08696
25_ROUGE-1,0.08696,0.04082,0.05556
26_ROUGE-1,0.10345,0.08108,0.09091
27_ROUGE-1,0.09302,0.12121,0.10526
28_ROUGE-1,0.35484,0.15493,0.21569
29_ROUGE-1,0.10345,0.09375,0.09836
2_ROUGE-1,0.25,0.20455,0.225
30_ROUGE-1,0.07407,0.14815,0.09876
31_ROUGE-1,0.26316,0.07353,0.11494
32_ROUGE-1,0.17241,0.1087,0.13334
33_ROUGE-1,0.17857,0.12821,0.14926
34_ROUGE-1,0.36667,0.40741,0.38597
35_ROUGE-1,0.08,0.16,0.10667
36_ROUGE-1,0.13158,0.13514,0.13334
37_ROUGE-1,0.23529,0.1039,0.14415
38_ROUGE-1,0.13793,0.18605,0.15842
39_ROUGE-1,0.12245,0.14634,0.13333
3_ROUGE-1,0.18182,0.14286,0.16
40_ROUGE-1,0.28947,0.24444,0.26506
41_ROUGE-1,0.19355,0.28571,0.23077
42_ROUGE-1,0.04615,0.08333,0.0594
43_ROUGE-1,0.08333,0.15,0.10714
44_ROUGE-1,0.04545,0.11765,0.06557
45_ROUGE-1,0.21429,0.15789,0.18182
46_ROUGE-1,0.18182,0.09524,0.125
47_ROUGE-1,0.16667,0.15789,0.16216
48_ROUGE-1,0.15909,0.36842,0.22222
49_ROUGE-1,0.16667,0.19048,0.17778
4_ROUGE-1,0.12821,0.07937,0.09804
50_ROUGE-1,0.03333,0.02857,0.03077
51_ROUGE-1,0.07317,0.08571,0.07895
52_ROUGE-1,0.07407,0.04651,0.05714
53_ROUGE-1,0.13333,0.02857,0.04706
54_ROUGE-1,0.30909,0.32692,0.31776
55_ROUGE-1,0.2,0.11765,0.14815
56_ROUGE-1,0.09259,0.16667,0.11905
57_ROUGE-1,0.125,0.12245,0.12371
58_ROUGE-1,0.11765,0.14286,0.12904
59_ROUGE-1,0.13333,0.17143,0.15
5_ROUGE-1,0.05085,0.11111,0.06977
6_ROUGE-1,0.12727,0.21212,0.15909
7_ROUGE-1,0.23077,0.06818,0.10526
8_ROUGE-1,0.0625,0.07692,0.06896
9_ROUGE-1,0.17857,0.2381,0.20408
