runid,recall,precision,f-score
10_ROUGE-SU*,0.02909,0.00581,0.00969
11_ROUGE-SU*,0.02609,0.00453,0.00772
12_ROUGE-SU*,0.01144,0.01144,0.01144
13_ROUGE-SU*,0.03273,0.00833,0.01328
14_ROUGE-SU*,0.0279,0.03392,0.03062
15_ROUGE-SU*,0.03943,0.02727,0.03224
16_ROUGE-SU*,0.02918,0.0122,0.01721
17_ROUGE-SU*,0.02941,0.00256,0.00471
18_ROUGE-SU*,0.02871,0.0042,0.00733
19_ROUGE-SU*,0.00726,0.00726,0.00726
1_ROUGE-SU*,0.03598,0.029,0.03212
20_ROUGE-SU*,0.02982,0.04867,0.03698
21_ROUGE-SU*,0.03828,0.0071,0.01198
22_ROUGE-SU*,0.01005,0.0086,0.00927
23_ROUGE-SU*,0.05042,0.00733,0.0128
24_ROUGE-SU*,0.02862,0.01597,0.0205
25_ROUGE-SU*,0.01818,0.00265,0.00463
26_ROUGE-SU*,0.01797,0.00847,0.01151
27_ROUGE-SU*,0.02468,0.01439,0.01818
28_ROUGE-SU*,0.08687,0.00731,0.01349
29_ROUGE-SU*,0.03896,0.00266,0.00498
2_ROUGE-SU*,0.0797,0.01845,0.02996
30_ROUGE-SU*,0.01053,0.00396,0.00576
31_ROUGE-SU*,0.04762,0.00461,0.00841
32_ROUGE-SU*,0.06682,0.02028,0.03112
33_ROUGE-SU*,0.01235,0.00676,0.00874
34_ROUGE-SU*,0.01749,0.01279,0.01478
35_ROUGE-SU*,0.00942,0.00906,0.00924
36_ROUGE-SU*,0.01622,0.01709,0.01664
37_ROUGE-SU*,0.08923,0.02472,0.03871
38_ROUGE-SU*,0.02865,0.03302,0.03068
39_ROUGE-SU*,0.03492,0.02308,0.02779
3_ROUGE-SU*,0.0754,0.02106,0.03292
40_ROUGE-SU*,0.08378,0.05065,0.06313
41_ROUGE-SU*,0.01281,0.01816,0.01502
42_ROUGE-SU*,0.01667,0.01213,0.01404
43_ROUGE-SU*,0.00602,0.00808,0.0069
44_ROUGE-SU*,0.01921,0.02568,0.02198
45_ROUGE-SU*,0.03704,0.02027,0.0262
46_ROUGE-SU*,0.03175,0.00604,0.01015
47_ROUGE-SU*,0.02256,0.01089,0.01469
48_ROUGE-SU*,0.06561,0.02496,0.03616
49_ROUGE-SU*,0.02222,0.00175,0.00324
4_ROUGE-SU*,0.0938,0.01474,0.02548
50_ROUGE-SU*,0.14871,0.02778,0.04681
51_ROUGE-SU*,0.02209,0.01686,0.01912
52_ROUGE-SU*,0.00611,0.00554,0.00581
53_ROUGE-SU*,0.05042,0.00363,0.00677
54_ROUGE-SU*,0.02729,0.01845,0.02202
55_ROUGE-SU*,0.01818,0.00392,0.00645
56_ROUGE-SU*,0.00235,0.00606,0.00339
57_ROUGE-SU*,0.01818,0.00585,0.00885
58_ROUGE-SU*,0.02824,0.04741,0.0354
59_ROUGE-SU*,0.03675,0.01886,0.02493
5_ROUGE-SU*,0.01112,0.01486,0.01272
6_ROUGE-SU*,0.02174,0.00752,0.01117
7_ROUGE-SU*,0.07778,0.00409,0.00777
8_ROUGE-SU*,0.02277,0.0127,0.01631
9_ROUGE-SU*,0.06667,0.03846,0.04878
