runid,recall,precision,f-score
10_ROUGE-SU*,0.07636,0.02031,0.03209
11_ROUGE-SU*,0.03514,0.02213,0.02716
12_ROUGE-SU*,0.02222,0.00303,0.00533
13_ROUGE-SU*,0.03636,0.0159,0.02212
14_ROUGE-SU*,0.01299,0.00739,0.00942
15_ROUGE-SU*,0.01921,0.01434,0.01642
16_ROUGE-SU*,0.06471,0.00976,0.01696
17_ROUGE-SU*,0.08824,0.01177,0.02077
18_ROUGE-SU*,0.09091,0.01686,0.02844
19_ROUGE-SU*,0.0157,0.01452,0.01509
1_ROUGE-SU*,0.03367,0.0117,0.01737
20_ROUGE-SU*,0.02838,0.07973,0.04186
21_ROUGE-SU*,0.08134,0.01508,0.02544
22_ROUGE-SU*,0.01404,0.00516,0.00755
23_ROUGE-SU*,0.08403,0.00967,0.01734
24_ROUGE-SU*,0.00318,0.00571,0.00408
25_ROUGE-SU*,0.01091,0.0021,0.00352
26_ROUGE-SU*,0.02074,0.01216,0.01533
27_ROUGE-SU*,0.01481,0.01416,0.01448
28_ROUGE-SU*,0.07568,0.02019,0.03188
29_ROUGE-SU*,0.06494,0.00642,0.01168
2_ROUGE-SU*,0.08918,0.02749,0.04203
30_ROUGE-SU*,0.00674,0.00785,0.00725
31_ROUGE-SU*,0.02646,0.00248,0.00453
32_ROUGE-SU*,0.02535,0.00863,0.01288
33_ROUGE-SU*,0.02716,0.01749,0.02128
34_ROUGE-SU*,0.07328,0.03288,0.04539
35_ROUGE-SU*,0.00785,0.02857,0.01232
36_ROUGE-SU*,0.00405,0.00477,0.00438
37_ROUGE-SU*,0.09764,0.01705,0.02903
38_ROUGE-SU*,0.00994,0.01447,0.01178
39_ROUGE-SU*,0.01716,0.02031,0.0186
3_ROUGE-SU*,0.02778,0.01613,0.02041
40_ROUGE-SU*,0.06689,0.01634,0.02626
41_ROUGE-SU*,0.021,0.02664,0.02349
42_ROUGE-SU*,0.01866,0.02508,0.0214
43_ROUGE-SU*,0.00794,0.08951,0.01459
44_ROUGE-SU*,0.00202,0.00357,0.00258
45_ROUGE-SU*,0.04198,0.02297,0.02969
46_ROUGE-SU*,0.02778,0.00776,0.01213
47_ROUGE-SU*,0.01504,0.01504,0.01504
48_ROUGE-SU*,0.00607,0.02007,0.00932
49_ROUGE-SU*,0.02723,0.02963,0.02838
4_ROUGE-SU*,0.03816,0.01119,0.01731
50_ROUGE-SU*,0.01504,0.01163,0.01312
51_ROUGE-SU*,0.01189,0.01389,0.01281
52_ROUGE-SU*,0.00796,0.0021,0.00332
53_ROUGE-SU*,0.03704,0.00287,0.00533
54_ROUGE-SU*,0.06758,0.06082,0.06402
55_ROUGE-SU*,0.03636,0.00674,0.01137
56_ROUGE-SU*,0.00674,0.01898,0.00995
57_ROUGE-SU*,0.00511,0.00453,0.0048
58_ROUGE-SU*,0.0101,0.01212,0.01102
59_ROUGE-SU*,0.01838,0.01617,0.0172
5_ROUGE-SU*,0.00202,0.00301,0.00242
6_ROUGE-SU*,0.15217,0.02747,0.04654
7_ROUGE-SU*,0.01111,0.00078,0.00146
8_ROUGE-SU*,0.00392,0.03605,0.00707
9_ROUGE-SU*,0.14815,0.12121,0.13333
