runid,recall,precision,f-score
10_ROUGE-1,0.18519,0.20833,0.19608
11_ROUGE-1,0.17241,0.22727,0.19607
12_ROUGE-1,0.23529,0.23529,0.23529
13_ROUGE-1,0.10169,0.12,0.11009
14_ROUGE-1,0.10204,0.12195,0.11111
15_ROUGE-1,0.10526,0.12766,0.11538
16_ROUGE-1,0.24528,0.27083,0.25742
17_ROUGE-1,0.18333,0.45833,0.2619
18_ROUGE-1,0.11864,0.23333,0.1573
19_ROUGE-1,0.16667,0.19231,0.17857
1_ROUGE-1,0.14754,0.27273,0.19149
20_ROUGE-1,0.33333,0.36667,0.34921
21_ROUGE-1,0.14286,0.1875,0.16216
22_ROUGE-1,0.16981,0.23684,0.1978
23_ROUGE-1,0.125,0.24138,0.16471
24_ROUGE-1,0.18033,0.23404,0.2037
25_ROUGE-1,0.08333,0.125,0.1
26_ROUGE-1,0.2,0.33333,0.25
27_ROUGE-1,0.04762,0.10345,0.06522
28_ROUGE-1,0.05357,0.07143,0.06122
29_ROUGE-1,0.19048,0.35294,0.24743
2_ROUGE-1,0.28302,0.26316,0.27273
30_ROUGE-1,0.12069,0.20588,0.15217
3_ROUGE-1,0.13433,0.23077,0.16981
4_ROUGE-1,0.03704,0.04545,0.04082
5_ROUGE-1,0.10345,0.19355,0.13483
6_ROUGE-1,0.17857,0.18868,0.18349
7_ROUGE-1,0.11111,0.2,0.14286
8_ROUGE-1,0.15873,0.23256,0.18868
9_ROUGE-1,0.14493,0.18868,0.16394
