runid,recall,precision,f-score
10_ROUGE-SU*,0.03639,0.04596,0.04062
11_ROUGE-SU*,0.02807,0.04853,0.03557
12_ROUGE-SU*,0.03472,0.03472,0.03472
13_ROUGE-SU*,0.00684,0.0157,0.00953
14_ROUGE-SU*,0.0098,0.01395,0.01151
15_ROUGE-SU*,0.00908,0.01331,0.0108
16_ROUGE-SU*,0.06238,0.0817,0.07074
17_ROUGE-SU*,0.0257,0.15719,0.04418
18_ROUGE-SU*,0.01131,0.0431,0.01792
19_ROUGE-SU*,0.02581,0.03776,0.03066
1_ROUGE-SU*,0.01429,0.04821,0.02205
20_ROUGE-SU*,0.06244,0.07545,0.06833
21_ROUGE-SU*,0.01288,0.02723,0.01749
22_ROUGE-SU*,0.02098,0.04054,0.02765
23_ROUGE-SU*,0.01129,0.04147,0.01775
24_ROUGE-SU*,0.03545,0.05945,0.04442
25_ROUGE-SU*,0.00492,0.01099,0.0068
26_ROUGE-SU*,0.02924,0.08036,0.04288
27_ROUGE-SU*,0.00248,0.01152,0.00408
28_ROUGE-SU*,0.00251,0.00443,0.0032
29_ROUGE-SU*,0.02878,0.09764,0.04446
2_ROUGE-SU*,0.06154,0.05327,0.05711
30_ROUGE-SU*,0.01228,0.03535,0.01823
3_ROUGE-SU*,0.01098,0.03209,0.01636
4_ROUGE-SU*,0.00202,0.00303,0.00242
5_ROUGE-SU*,0.00702,0.02424,0.01089
6_ROUGE-SU*,0.03072,0.03427,0.0324
7_ROUGE-SU*,0.01078,0.03448,0.01642
8_ROUGE-SU*,0.02878,0.06138,0.03919
9_ROUGE-SU*,0.01657,0.02797,0.02081
