runid,recall,precision,f-score
10_ROUGE-1,0.17391,0.08,0.10959
11_ROUGE-1,0.2381,0.12195,0.16129
12_ROUGE-1,0.16327,0.12903,0.14414
13_ROUGE-1,0.13043,0.08108,0.1
14_ROUGE-1,0.17778,0.11268,0.13793
15_ROUGE-1,0.25,0.23913,0.24444
16_ROUGE-1,0.25926,0.14894,0.18919
17_ROUGE-1,0.22222,0.08511,0.12308
18_ROUGE-1,0.15,0.10345,0.12245
19_ROUGE-1,0.15385,0.17391,0.16327
1_ROUGE-1,0.23529,0.13793,0.17391
20_ROUGE-1,0.23438,0.29412,0.26087
21_ROUGE-1,0.35,0.19444,0.25
22_ROUGE-1,0.2623,0.19277,0.22222
23_ROUGE-1,0.3,0.07143,0.11539
24_ROUGE-1,0.08571,0.08571,0.08571
25_ROUGE-1,0.2,0.05,0.08
26_ROUGE-1,0.10345,0.05769,0.07407
27_ROUGE-1,0.08333,0.06557,0.07339
28_ROUGE-1,0.32258,0.15625,0.21053
29_ROUGE-1,0.17241,0.08475,0.11364
2_ROUGE-1,0.30556,0.23913,0.26829
30_ROUGE-1,0.08333,0.06977,0.07595
31_ROUGE-1,0.19608,0.14286,0.16529
32_ROUGE-1,0.13793,0.09302,0.11111
33_ROUGE-1,0,0,0
34_ROUGE-1,0.33333,0.20408,0.25316
35_ROUGE-1,0.18,0.34615,0.23684
36_ROUGE-1,0.15789,0.11321,0.13187
37_ROUGE-1,0.20588,0.10606,0.14
38_ROUGE-1,0.17241,0.17241,0.17241
39_ROUGE-1,0.2449,0.25,0.24742
3_ROUGE-1,0.13636,0.1,0.11538
40_ROUGE-1,0.29167,0.16667,0.21212
41_ROUGE-1,0.24194,0.22388,0.23256
42_ROUGE-1,0.12308,0.12308,0.12308
43_ROUGE-1,0.08333,0.09677,0.08955
44_ROUGE-1,0.06818,0.08824,0.07692
45_ROUGE-1,0.17857,0.13514,0.15385
46_ROUGE-1,0.22727,0.10417,0.14286
47_ROUGE-1,0.16667,0.13953,0.1519
48_ROUGE-1,0.11628,0.22727,0.15385
49_ROUGE-1,0.14583,0.175,0.15909
4_ROUGE-1,0.15385,0.12766,0.13954
50_ROUGE-1,0.26667,0.14815,0.19048
51_ROUGE-1,0.17073,0.14286,0.15556
52_ROUGE-1,0.175,0.16667,0.17073
53_ROUGE-1,0.26667,0.04255,0.07339
54_ROUGE-1,0.34545,0.28788,0.31405
55_ROUGE-1,0.30435,0.09333,0.14285
56_ROUGE-1,0.16667,0.21951,0.18948
57_ROUGE-1,0.10417,0.11364,0.1087
58_ROUGE-1,0.12821,0.10638,0.11628
59_ROUGE-1,0.13793,0.15385,0.14546
5_ROUGE-1,0.09091,0.08696,0.08889
6_ROUGE-1,0.19048,0.07018,0.10257
7_ROUGE-1,0.15385,0.03774,0.06061
8_ROUGE-1,0.09375,0.075,0.08333
9_ROUGE-1,0.32143,0.16667,0.21952
