runid,recall,precision,f-score
10_ROUGE-SU*,0.02545,0.00549,0.00903
11_ROUGE-SU*,0.04595,0.03953,0.0425
12_ROUGE-SU*,0.02222,0.00154,0.00288
13_ROUGE-SU*,0.02182,0.00855,0.01229
14_ROUGE-SU*,0.02611,0.01057,0.01505
15_ROUGE-SU*,0.05359,0.04907,0.05123
16_ROUGE-SU*,0.07427,0.02484,0.03723
17_ROUGE-SU*,0.05294,0.00799,0.01388
18_ROUGE-SU*,0.02392,0.01152,0.01555
19_ROUGE-SU*,0.02324,0.02963,0.02605
1_ROUGE-SU*,0.05724,0.01988,0.02951
20_ROUGE-SU*,0.04233,0.06642,0.05171
21_ROUGE-SU*,0.11483,0.03609,0.05492
22_ROUGE-SU*,0.05503,0.02984,0.0387
23_ROUGE-SU*,0.07407,0.00443,0.00836
24_ROUGE-SU*,0.00795,0.00795,0.00795
25_ROUGE-SU*,0.05042,0.00328,0.00616
26_ROUGE-SU*,0.00922,0.0029,0.00441
27_ROUGE-SU*,0.00936,0.00582,0.00718
28_ROUGE-SU*,0.07071,0.01684,0.0272
29_ROUGE-SU*,0.03896,0.0017,0.00326
2_ROUGE-SU*,0.07218,0.04444,0.05501
30_ROUGE-SU*,0.00674,0.01058,0.00823
31_ROUGE-SU*,0.03547,0.01892,0.02468
32_ROUGE-SU*,0.02304,0.01058,0.0145
33_ROUGE-SU*,0,0,0
34_ROUGE-SU*,0.08836,0.0335,0.04858
35_ROUGE-SU*,0.02355,0.08571,0.03695
36_ROUGE-SU*,0.02162,0.01119,0.01475
37_ROUGE-SU*,0.03367,0.00905,0.01427
38_ROUGE-SU*,0.02398,0.02398,0.02398
39_ROUGE-SU*,0.0482,0.05021,0.04918
3_ROUGE-SU*,0.01984,0.01078,0.01397
40_ROUGE-SU*,0.10033,0.03326,0.04996
41_ROUGE-SU*,0.03945,0.03382,0.03642
42_ROUGE-SU*,0.01353,0.01353,0.01353
43_ROUGE-SU*,0.00752,0.0101,0.00862
44_ROUGE-SU*,0.00607,0.0101,0.00758
45_ROUGE-SU*,0.02963,0.01709,0.02168
46_ROUGE-SU*,0.03968,0.00851,0.01401
47_ROUGE-SU*,0.02707,0.01905,0.02236
48_ROUGE-SU*,0.0127,0.04762,0.02005
49_ROUGE-SU*,0.02222,0.00366,0.00628
4_ROUGE-SU*,0.02054,0.0142,0.01679
50_ROUGE-SU*,0.05819,0.01819,0.02772
51_ROUGE-SU*,0.03372,0.02369,0.02783
52_ROUGE-SU*,0.03541,0.03215,0.0337
53_ROUGE-SU*,0.05042,0.00134,0.00261
54_ROUGE-SU*,0.10006,0.06968,0.08215
55_ROUGE-SU*,0.09091,0.00878,0.01601
56_ROUGE-SU*,0.03032,0.05233,0.03839
57_ROUGE-SU*,0.00851,0.01011,0.00924
58_ROUGE-SU*,0.0202,0.01065,0.01395
59_ROUGE-SU*,0.01547,0.01162,0.01327
5_ROUGE-SU*,0.01011,0.00926,0.00967
6_ROUGE-SU*,0.04348,0.00605,0.01062
7_ROUGE-SU*,0.02222,0.0014,0.00263
8_ROUGE-SU*,0.00949,0.00611,0.00743
9_ROUGE-SU*,0.11358,0.031,0.04871
