runid,recall,precision,f-score
10_ROUGE-2,0.13636,0.06667,0.08955
11_ROUGE-2,0.02703,0.02326,0.025
12_ROUGE-2,0,0,0
13_ROUGE-2,0.04545,0.01562,0.02325
14_ROUGE-2,0.01587,0.01149,0.01333
15_ROUGE-2,0.06977,0.06977,0.06977
16_ROUGE-2,0.03846,0.01818,0.02469
17_ROUGE-2,0.05882,0.03125,0.04082
18_ROUGE-2,0.05263,0.02778,0.03637
19_ROUGE-2,0.03922,0.03509,0.03704
1_ROUGE-2,0,0,0
20_ROUGE-2,0.07937,0.125,0.09709
21_ROUGE-2,0.15789,0.06818,0.09524
22_ROUGE-2,0.03333,0.01681,0.02235
23_ROUGE-2,0,0,0
24_ROUGE-2,0.02941,0.02857,0.02898
25_ROUGE-2,0,0,0
26_ROUGE-2,0.02632,0.02632,0.02632
27_ROUGE-2,0.02128,0.01205,0.01539
28_ROUGE-2,0.06667,0.04167,0.05129
29_ROUGE-2,0.0303,0.0303,0.0303
2_ROUGE-2,0.25714,0.15254,0.19149
30_ROUGE-2,0,0,0
31_ROUGE-2,0,0,0
32_ROUGE-2,0.04651,0.04167,0.04396
33_ROUGE-2,0.03704,0.02273,0.02817
34_ROUGE-2,0.10345,0.06818,0.08219
35_ROUGE-2,0.02041,0.05,0.02899
36_ROUGE-2,0,0,0
37_ROUGE-2,0.02857,0.01087,0.01575
38_ROUGE-2,0,0,0
39_ROUGE-2,0.04762,0.05714,0.05195
3_ROUGE-2,0,0,0
40_ROUGE-2,0,0,0
41_ROUGE-2,0.03279,0.03704,0.03479
42_ROUGE-2,0.0625,0.07547,0.06838
43_ROUGE-2,0.03571,0.12,0.05504
44_ROUGE-2,0,0,0
45_ROUGE-2,0.11111,0.06818,0.08451
46_ROUGE-2,0.07143,0.04082,0.05195
47_ROUGE-2,0.02857,0.02564,0.02703
48_ROUGE-2,0,0,0
49_ROUGE-2,0.02128,0.02222,0.02174
4_ROUGE-2,0.02941,0.01724,0.02174
50_ROUGE-2,0.06897,0.04167,0.05195
51_ROUGE-2,0.075,0.04478,0.05608
52_ROUGE-2,0.03846,0.03333,0.03571
53_ROUGE-2,0,0,0
54_ROUGE-2,0.03704,0.03636,0.0367
55_ROUGE-2,0.09091,0.04,0.05556
56_ROUGE-2,0.03774,0.05128,0.04348
57_ROUGE-2,0,0,0
58_ROUGE-2,0,0,0
59_ROUGE-2,0.04545,0.04444,0.04494
5_ROUGE-2,0,0,0
6_ROUGE-2,0.25,0.10638,0.14925
7_ROUGE-2,0.0625,0.07547,0.06838
8_ROUGE-2,0,0,0
9_ROUGE-2,0.22222,0.13043,0.16438
