runid,recall,precision,f-score
10_ROUGE-SU*,0.06545,0.01667,0.02657
11_ROUGE-SU*,0.0527,0.03943,0.04511
12_ROUGE-SU*,0.00327,0.00714,0.00449
13_ROUGE-SU*,0.02182,0.0028,0.00496
14_ROUGE-SU*,0.01732,0.0092,0.01202
15_ROUGE-SU*,0.0364,0.0364,0.0364
16_ROUGE-SU*,0.06101,0.01442,0.02333
17_ROUGE-SU*,0.04118,0.0125,0.01918
18_ROUGE-SU*,0.04785,0.01425,0.02196
19_ROUGE-SU*,0.03195,0.02573,0.0285
1_ROUGE-SU*,0.02434,0.06216,0.03498
20_ROUGE-SU*,0.04137,0.1,0.05853
21_ROUGE-SU*,0.11005,0.02224,0.037
22_ROUGE-SU*,0.04974,0.01295,0.02055
23_ROUGE-SU*,0.16667,0.00833,0.01587
24_ROUGE-SU*,0.03021,0.02857,0.02937
25_ROUGE-SU*,0.0084,0.00073,0.00134
26_ROUGE-SU*,0.02074,0.01155,0.01484
27_ROUGE-SU*,0.04,0.01317,0.01982
28_ROUGE-SU*,0.02828,0.01144,0.01629
29_ROUGE-SU*,0.03896,0.00505,0.00894
2_ROUGE-SU*,0.14286,0.05194,0.07618
30_ROUGE-SU*,0.01053,0.00776,0.00894
31_ROUGE-SU*,0.01058,0.0013,0.00232
32_ROUGE-SU*,0.02995,0.01062,0.01568
33_ROUGE-SU*,0.04444,0.01741,0.02502
34_ROUGE-SU*,0.13362,0.05996,0.08278
35_ROUGE-SU*,0.00479,0.06087,0.00888
36_ROUGE-SU*,0.0027,0.00285,0.00277
37_ROUGE-SU*,0.12782,0.01945,0.03376
38_ROUGE-SU*,0.02865,0.04537,0.03512
39_ROUGE-SU*,0.04248,0.0782,0.05505
3_ROUGE-SU*,0.02381,0.01592,0.01908
40_ROUGE-SU*,0.03815,0.03513,0.03658
41_ROUGE-SU*,0.03893,0.04938,0.04354
42_ROUGE-SU*,0.01586,0.02291,0.01874
43_ROUGE-SU*,0.00876,0.09143,0.01599
44_ROUGE-SU*,0.00202,0.00285,0.00236
45_ROUGE-SU*,0.05679,0.02224,0.03196
46_ROUGE-SU*,0.02304,0.00785,0.01171
47_ROUGE-SU*,0.03008,0.02442,0.02696
48_ROUGE-SU*,0.00607,0.02007,0.00932
49_ROUGE-SU*,0.04444,0.00556,0.00988
4_ROUGE-SU*,0.0154,0.00678,0.00941
50_ROUGE-SU*,0.02155,0.00817,0.01185
51_ROUGE-SU*,0.1,0.03667,0.05366
52_ROUGE-SU*,0.03183,0.02424,0.02752
53_ROUGE-SU*,0.0084,0.00135,0.00233
54_ROUGE-SU*,0.08642,0.08339,0.08488
55_ROUGE-SU*,0.03636,0.00755,0.0125
56_ROUGE-SU*,0.01011,0.01832,0.01303
57_ROUGE-SU*,0.00606,0.00266,0.0037
58_ROUGE-SU*,0.03535,0.02838,0.03148
59_ROUGE-SU*,0.01547,0.01481,0.01513
5_ROUGE-SU*,0.03033,0.01696,0.02175
6_ROUGE-SU*,0.15217,0.02979,0.04983
7_ROUGE-SU*,0.02222,0.00135,0.00255
8_ROUGE-SU*,0.00949,0.00842,0.00892
9_ROUGE-SU*,0.14815,0.05324,0.07833
