runid,recall,precision,f-score
10_ROUGE-SU*,0.05189,0.0101,0.01691
11_ROUGE-SU*,0.01892,0.00597,0.00908
12_ROUGE-SU*,0.02696,0.02308,0.02487
13_ROUGE-SU*,0.29455,0.01935,0.03631
14_ROUGE-SU*,0.07937,0.00846,0.01529
15_ROUGE-SU*,0.04651,0.01906,0.02704
16_ROUGE-SU*,0.05836,0.01797,0.02748
17_ROUGE-SU*,0.05882,0.0037,0.00696
18_ROUGE-SU*,0.05263,0.0083,0.01434
19_ROUGE-SU*,0.12987,0.0065,0.01238
1_ROUGE-SU*,0.06825,0.04297,0.05274
20_ROUGE-SU*,0.07696,0.07027,0.07346
21_ROUGE-SU*,0.1866,0.02727,0.04759
22_ROUGE-SU*,0.01905,0.01058,0.0136
23_ROUGE-SU*,0.17647,0.02031,0.03643
24_ROUGE-SU*,0.02544,0.01119,0.01554
25_ROUGE-SU*,0.04202,0.0011,0.00214
26_ROUGE-SU*,0.03226,0.0091,0.0142
27_ROUGE-SU*,0.01693,0.01256,0.01442
28_ROUGE-SU*,0.08485,0.01436,0.02456
29_ROUGE-SU*,0.07792,0.00363,0.00694
2_ROUGE-SU*,0.0782,0.02501,0.0379
30_ROUGE-SU*,0.03459,0.00766,0.01254
31_ROUGE-SU*,0.01058,0.00185,0.00315
32_ROUGE-SU*,0.10369,0.0383,0.05594
33_ROUGE-SU*,0.00247,0.00061,0.00098
34_ROUGE-SU*,0.08585,0.03269,0.04735
35_ROUGE-SU*,0.02276,0.02276,0.02276
36_ROUGE-SU*,0.06892,0.01463,0.02414
37_ROUGE-SU*,0.06734,0.00999,0.0174
38_ROUGE-SU*,0.02164,0.01726,0.0192
39_ROUGE-SU*,0.06127,0.02855,0.03895
3_ROUGE-SU*,0.05042,0.0058,0.0104
40_ROUGE-SU*,0.11371,0.02469,0.04057
41_ROUGE-SU*,0.04303,0.04303,0.04303
42_ROUGE-SU*,0.01759,0.00914,0.01203
43_ROUGE-SU*,0.00629,0.05679,0.01133
44_ROUGE-SU*,0.01921,0.05429,0.02838
45_ROUGE-SU*,0.03539,0.02979,0.03235
46_ROUGE-SU*,0.02381,0.00698,0.0108
47_ROUGE-SU*,0.08497,0.03439,0.04896
48_ROUGE-SU*,0.05561,0.08744,0.06798
49_ROUGE-SU*,0.0383,0.01261,0.01897
4_ROUGE-SU*,0.04928,0.00381,0.00707
50_ROUGE-SU*,0.03158,0.00922,0.01427
51_ROUGE-SU*,0.02791,0.0127,0.01746
52_ROUGE-SU*,0.01592,0.0049,0.00749
53_ROUGE-SU*,0.05882,0.00141,0.00275
54_ROUGE-SU*,0.18454,0.0946,0.12508
55_ROUGE-SU*,0.04095,0.0115,0.01796
56_ROUGE-SU*,0.02561,0.03234,0.02858
57_ROUGE-SU*,0.04848,0.00379,0.00703
58_ROUGE-SU*,0.04377,0.0391,0.0413
59_ROUGE-SU*,0.06963,0.0172,0.02759
5_ROUGE-SU*,0.02123,0.01944,0.0203
6_ROUGE-SU*,0.01967,0.04828,0.02795
7_ROUGE-SU*,0.11111,0.00224,0.00439
8_ROUGE-SU*,0.01708,0.00362,0.00597
9_ROUGE-SU*,0.12099,0.04348,0.06397
