runid,recall,precision,f-score
10_ROUGE-SU*,0.00404,0.02381,0.00691
11_ROUGE-SU*,0.02515,0.08687,0.03901
12_ROUGE-SU*,0.01434,0.11176,0.02542
13_ROUGE-SU*,0.00283,0.03289,0.00521
14_ROUGE-SU*,0.00577,0.07059,0.01067
15_ROUGE-SU*,0.00195,0.0119,0.00335
16_ROUGE-SU*,0.01049,0.14423,0.01956
17_ROUGE-SU*,0.00317,0.04118,0.00589
18_ROUGE-SU*,0.00195,0.03896,0.00371
19_ROUGE-SU*,0.00744,0.03233,0.0121
1_ROUGE-SU*,0.0037,0.12963,0.00719
20_ROUGE-SU*,0.01312,0.08286,0.02265
21_ROUGE-SU*,0.00596,0.05217,0.0107
22_ROUGE-SU*,0.0021,0.02521,0.00388
23_ROUGE-SU*,0.01066,0.06746,0.01841
24_ROUGE-SU*,0.00423,0.04233,0.00769
25_ROUGE-SU*,0.00383,0.03704,0.00694
26_ROUGE-SU*,0.0174,0.15273,0.03124
27_ROUGE-SU*,0.00078,0.01058,0.00145
28_ROUGE-SU*,0.00063,0.01299,0.0012
29_ROUGE-SU*,0.01852,0.1,0.03125
2_ROUGE-SU*,0.00296,0.04233,0.00553
30_ROUGE-SU*,0.01422,0.10317,0.02499
3_ROUGE-SU*,0.00439,0.04348,0.00797
4_ROUGE-SU*,0.00175,0.01974,0.00321
5_ROUGE-SU*,0.00182,0.02222,0.00336
6_ROUGE-SU*,0.01998,0.11037,0.03383
7_ROUGE-SU*,0.01639,0.0625,0.02597
8_ROUGE-SU*,0.00695,0.06087,0.01248
9_ROUGE-SU*,0.02486,0.18519,0.04384
