runid,recall,precision,f-score
10_ROUGE-2,0.0566,0.06818,0.06185
11_ROUGE-2,0,0,0
12_ROUGE-2,0.02083,0.02326,0.02198
13_ROUGE-2,0.07792,0.13953,0.1
14_ROUGE-2,0,0,0
15_ROUGE-2,0.04651,0.02597,0.03333
16_ROUGE-2,0.03846,0.01887,0.02532
17_ROUGE-2,0.01471,0.01667,0.01563
18_ROUGE-2,0.05263,0.02273,0.03175
19_ROUGE-2,0.18182,0.03571,0.0597
1_ROUGE-2,0,0,0
20_ROUGE-2,0.04762,0.05556,0.05128
21_ROUGE-2,0,0,0
22_ROUGE-2,0.01754,0.01429,0.01575
23_ROUGE-2,0.04348,0.02041,0.02778
24_ROUGE-2,0,0,0
25_ROUGE-2,0,0,0
26_ROUGE-2,0,0,0
27_ROUGE-2,0,0,0
28_ROUGE-2,0.1,0.04348,0.06061
29_ROUGE-2,0,0,0
2_ROUGE-2,0.12903,0.06667,0.08791
30_ROUGE-2,0,0,0
31_ROUGE-2,0,0,0
32_ROUGE-2,0,0,0
33_ROUGE-2,0,0,0
34_ROUGE-2,0.06897,0.04545,0.05479
35_ROUGE-2,0.02041,0.02381,0.02198
36_ROUGE-2,0,0,0
37_ROUGE-2,0.06061,0.03333,0.04301
38_ROUGE-2,0.03509,0.03226,0.03362
39_ROUGE-2,0.02083,0.02857,0.02409
3_ROUGE-2,0.04762,0.03571,0.04081
40_ROUGE-2,0.13043,0.05357,0.07595
41_ROUGE-2,0,0,0
42_ROUGE-2,0,0,0
43_ROUGE-2,0.03571,0.06818,0.04687
44_ROUGE-2,0.02326,0.02041,0.02174
45_ROUGE-2,0.03704,0.02128,0.02703
46_ROUGE-2,0,0,0
47_ROUGE-2,0,0,0
48_ROUGE-2,0,0,0
49_ROUGE-2,0,0,0
4_ROUGE-2,0.11765,0.04819,0.06837
50_ROUGE-2,0.10345,0.05172,0.06896
51_ROUGE-2,0.05,0.03922,0.04396
52_ROUGE-2,0,0,0
53_ROUGE-2,0.07143,0.01695,0.0274
54_ROUGE-2,0.03704,0.02703,0.03125
55_ROUGE-2,0,0,0
56_ROUGE-2,0,0,0
57_ROUGE-2,0,0,0
58_ROUGE-2,0.0303,0.02564,0.02778
59_ROUGE-2,0.09091,0.07273,0.08081
5_ROUGE-2,0,0,0
6_ROUGE-2,0.09259,0.08475,0.0885
7_ROUGE-2,0,0,0
8_ROUGE-2,0,0,0
9_ROUGE-2,0.2963,0.10811,0.15842
