runid,recall,precision,f-score
10_ROUGE-SU*,0.01752,0.02515,0.02065
11_ROUGE-SU*,0.02609,0.00453,0.00772
12_ROUGE-SU*,0.01144,0.01416,0.01266
13_ROUGE-SU*,0.05091,0.01416,0.02216
14_ROUGE-SU*,0.00914,0.00704,0.00795
15_ROUGE-SU*,0.04853,0.01558,0.02359
16_ROUGE-SU*,0.06471,0.00741,0.0133
17_ROUGE-SU*,0.04706,0.00423,0.00776
18_ROUGE-SU*,0.04785,0.00967,0.01609
19_ROUGE-SU*,0.07792,0.00363,0.00694
1_ROUGE-SU*,0.02063,0.02281,0.02167
20_ROUGE-SU*,0.04281,0.05783,0.0492
21_ROUGE-SU*,0.00957,0.00185,0.0031
22_ROUGE-SU*,0.02275,0.01683,0.01935
23_ROUGE-SU*,0.10924,0.0102,0.01866
24_ROUGE-SU*,0.02862,0.01597,0.0205
25_ROUGE-SU*,0.01818,0.00265,0.00463
26_ROUGE-SU*,0.0023,0.00089,0.00128
27_ROUGE-SU*,0.03234,0.0137,0.01925
28_ROUGE-SU*,0.02828,0.00564,0.0094
29_ROUGE-SU*,0.03896,0.00111,0.00216
2_ROUGE-SU*,0.04812,0.01693,0.02505
30_ROUGE-SU*,0.0027,0.00152,0.00195
31_ROUGE-SU*,0.01587,0.00149,0.00272
32_ROUGE-SU*,0.02765,0.01021,0.01491
33_ROUGE-SU*,0.00494,0.00125,0.002
34_ROUGE-SU*,0.03233,0.01451,0.02003
35_ROUGE-SU*,0.00549,0.00741,0.00631
36_ROUGE-SU*,0.02568,0.00886,0.01317
37_ROUGE-SU*,0.07071,0.02222,0.03381
38_ROUGE-SU*,0.02749,0.02333,0.02524
39_ROUGE-SU*,0.00654,0.01203,0.00847
3_ROUGE-SU*,0.01984,0.01152,0.01458
40_ROUGE-SU*,0.0903,0.01634,0.02767
41_ROUGE-SU*,0.0123,0.01453,0.01332
42_ROUGE-SU*,0.00926,0.01109,0.01009
43_ROUGE-SU*,0.01654,0.01064,0.01295
44_ROUGE-SU*,0.02123,0.01648,0.01856
45_ROUGE-SU*,0.02224,0.01872,0.02033
46_ROUGE-SU*,0.03175,0.00887,0.01387
47_ROUGE-SU*,0.02556,0.01574,0.01948
48_ROUGE-SU*,0.02222,0.01148,0.01514
49_ROUGE-SU*,0.08148,0.00483,0.00912
4_ROUGE-SU*,0.07959,0.01737,0.02852
50_ROUGE-SU*,0.10776,0.02826,0.04478
51_ROUGE-SU*,0.01744,0.01089,0.01341
52_ROUGE-SU*,0.00244,0.00222,0.00232
53_ROUGE-SU*,0.05882,0.00383,0.00719
54_ROUGE-SU*,0.03769,0.02036,0.02644
55_ROUGE-SU*,0.01818,0.00463,0.00738
56_ROUGE-SU*,0.00235,0.01765,0.00415
57_ROUGE-SU*,0.01362,0.00904,0.01087
58_ROUGE-SU*,0.01926,0.01832,0.01878
59_ROUGE-SU*,0.0677,0.04389,0.05325
5_ROUGE-SU*,0.01618,0.01119,0.01323
6_ROUGE-SU*,0.06953,0.0585,0.06354
7_ROUGE-SU*,0.03333,0.00149,0.00285
8_ROUGE-SU*,0.00569,0.00317,0.00407
9_ROUGE-SU*,0.21481,0.03054,0.05348
